Date,Open,High,Low,Close,Adj Close,Volume
2016-05-23,141.118546,141.443588,140.210327,140.315491,107.139374,2200575
2016-05-24,140.420654,142.208420,140.420654,141.787766,108.263527,3064048
2016-05-25,142.380493,145.401535,141.969406,145.019119,110.730858,4555644
2016-05-26,144.885284,145.803055,144.407272,145.736145,111.278336,3203793
2016-05-27,145.650101,146.204590,145.458893,146.118546,111.570343,2570127
2016-05-31,145.850861,147.045883,145.573608,146.978973,112.227310,6105084
2016-06-01,146.271515,146.529633,144.875717,145.803055,111.329437,2785916
2016-06-02,145.879547,146.749527,145.430206,146.749527,112.052132,2764160
2016-06-03,145.697891,146.309753,145.028687,146.166351,111.606827,2435402
2016-06-06,146.357559,147.179733,145.640533,146.013382,111.490021,2488120
2016-06-07,146.567871,147.160614,145.946457,146.587006,111.928024,4670390
2016-06-08,146.778198,147.313583,146.309753,147.227539,112.417130,3070010
2016-06-09,146.195023,146.998093,146.013382,146.673035,111.993713,2114803
2016-06-10,146.070740,146.587006,145.181641,145.669220,111.227242,3264148
2016-06-13,144.961761,145.793503,143.671127,144.627151,110.431557,3776478
2016-06-14,144.627151,145.114716,143.785858,144.416824,110.270996,2997627
2016-06-15,144.799240,145.114716,143.977051,144.053543,109.993561,2364378
2016-06-16,143.585083,144.636703,142.447418,144.416824,110.270996,2561759
2016-06-17,144.321228,146.003830,143.977051,145.305923,110.949837,4878439
2016-06-20,145.889099,147.868073,145.812622,146.854691,112.132431,3736417
2016-06-21,147.380493,147.772461,146.931168,147.275330,112.453613,2887274
2016-06-22,146.988525,147.906311,145.573608,146.195023,111.628716,2964050
2016-06-23,146.701721,148.642441,145.889099,148.518158,113.402596,4151992
2016-06-24,143.374756,143.986618,139.751434,140.143402,107.007973,9500609
2016-06-27,139.751434,140.152969,136.233276,137.189301,104.752319,5248723
2016-06-28,138.412994,139.321228,137.877625,139.292542,106.358269,4181594
2016-06-29,140.057358,141.950287,140.009567,141.931168,108.373009,3522614
2016-06-30,142.313583,145.229446,142.131927,145.105164,110.796547,4149587
2016-07-01,145.105164,146.242828,144.741867,145.650101,111.212646,2780582
2016-07-05,144.541107,145.315491,144.130020,145.009567,110.723587,2578599
2016-07-06,145.172089,145.707458,143.326965,145.669220,111.227242,2687592
2016-07-07,146.032501,146.931168,145.210327,145.889099,111.395142,2236766
2016-07-08,147.227539,147.801147,146.347992,147.667297,112.752914,3180468
2016-07-11,147.801147,149.177826,147.705551,148.499039,113.387993,2964050
2016-07-12,149.139572,150.210327,148.680695,150.133850,114.636261,4020615
2016-07-13,150.812622,151.376678,150.152969,151.070740,115.351624,2872734
2016-07-14,151.826004,154.302109,151.606125,153.231354,117.001419,4850930
2016-07-15,152.868073,152.944550,151.529633,152.753342,116.636375,4682733
2016-07-18,152.294449,153.680695,151.749527,152.829834,116.694832,7039266
2016-07-19,154.665390,155.009567,150.946457,152.562134,116.490402,7447520
2016-07-20,152.934998,154.598465,152.581268,154.263855,117.789803,4577610
2016-07-21,153.680695,154.732315,152.858505,153.393875,117.125488,3680769
2016-07-22,153.709366,155.038239,153.422562,154.942642,118.308060,2636025
2016-07-25,154.875717,155.717010,154.636703,155.497131,118.731438,2933612
2016-07-26,155.497131,156.405350,154.273422,154.990433,118.344574,3027752
2016-07-27,154.990433,155.420654,154.091782,154.713196,118.132843,2262184
2016-07-28,154.282990,154.694077,153.642441,154.273422,117.797089,2448058
2016-07-29,154.263855,154.560226,152.992355,153.556412,117.249596,3710685
2016-08-01,153.585083,154.541107,152.810699,154.349899,117.855484,2953486
2016-08-02,154.177826,154.349899,153.307846,153.518158,117.220375,3222621
2016-08-03,153.087952,153.785858,152.772461,153.604202,117.286110,2993338
2016-08-04,153.785858,154.588913,153.078400,154.445511,117.928482,2603599
2016-08-05,154.875717,156.319305,154.464630,156.309753,119.351952,3987770
2016-08-08,155.573608,156.089859,154.474182,154.913956,119.355179,3179108
2016-08-09,155.086044,155.611862,154.541107,154.655838,119.156288,2863425
2016-08-10,155.057358,155.506699,154.837479,154.952194,119.384613,2580168
2016-08-11,155.114716,157.695984,155.047806,156.338425,120.452705,9171956
2016-08-12,156.013382,156.271515,154.416824,154.827911,119.288872,2660083
2016-08-15,155.258133,155.803055,154.665390,154.761002,119.237320,3107038
2016-08-16,154.024857,154.808792,153.623322,153.632889,118.368156,2311869
2016-08-17,153.891006,154.072662,152.810699,153.384323,118.176636,3374291
2016-08-18,153.814529,154.875717,153.384323,154.263855,118.854301,3819992
2016-08-19,153.766724,153.833649,152.504776,153.001907,117.882019,2944699
2016-08-22,152.963669,153.508606,152.131927,152.963669,117.852562,2133108
2016-08-23,153.279160,154.244736,153.183563,153.212234,118.044067,2968653
2016-08-24,152.858505,153.135757,151.357559,152.055450,117.152786,3813507
2016-08-25,152.007645,152.523895,151.453156,151.653915,116.843437,2693450
2016-08-26,151.892929,153.384323,150.908218,151.357559,116.615120,2613849
2016-08-29,151.845123,153.164429,151.529633,152.695984,117.646309,2589791
2016-08-30,152.734222,153.107071,151.826004,152.390060,117.410606,1896712
2016-08-31,152.638626,152.638626,151.300186,151.892929,117.027603,2430486
2016-09-01,151.357559,152.600388,151.147232,152.523895,117.513741,2466886
2016-09-02,152.848953,153.508606,152.151047,152.533463,117.521095,2421908
2016-09-06,152.848953,153.785858,152.112808,153.298279,118.110344,3131829
2016-09-07,153.145309,154.646271,152.963669,154.531555,119.060493,2999196
2016-09-08,153.489487,154.120453,151.778198,152.007645,117.115990,4145507
2016-09-09,151.080307,151.434036,148.804977,148.843216,114.677895,5424556
2016-09-12,148.432129,151.558319,148.030594,151.328873,116.592995,4568405
2016-09-13,150.697891,150.984711,148.661575,148.957932,114.766281,3803988
2016-09-14,148.852768,149.015289,146.644363,147.275330,113.469917,4038188
2016-09-15,147.514343,149.455063,146.472275,148.814529,114.655815,3813298
2016-09-16,148.221802,148.565964,146.720840,147.074570,113.315231,6760926
2016-09-19,148.059280,149.321228,147.753342,148.059280,114.073914,2562805
2016-09-20,149.015289,149.684509,147.657745,147.657745,113.764526,2258419
2016-09-21,148.097519,148.833649,147.103256,148.690247,114.560028,2587699
2016-09-22,149.282990,150.305923,148.843216,149.244736,114.987244,2814891
2016-09-23,148.776291,149.177826,147.906311,148.164429,114.154930,2826501
2016-09-26,147.667297,147.667297,146.711288,147.208420,113.418358,2649832
2016-09-27,147.533463,149.875717,147.045883,149.875717,115.473396,3124611
2016-09-28,150.086044,151.653915,149.359467,151.328873,116.592995,3462260
2016-09-29,151.653915,157.743790,150.535370,151.156784,116.460411,3530041
2016-09-30,151.912048,152.810699,151.108994,151.864243,117.005486,3762357
2016-10-03,151.108994,151.405350,150.114716,150.678772,116.092148,2330279
2016-10-04,150.736145,151.558319,148.967499,149.579346,115.245071,3016769
2016-10-05,150.162521,150.889099,149.827911,150.172089,115.701736,1761987
2016-10-06,149.942642,150.506699,149.034424,149.980881,115.554413,2039805
2016-10-07,150.229446,150.764816,148.049713,148.824097,114.663162,2794807
2016-10-10,149.818359,151.520081,149.770554,150.114716,115.657532,2595440
2016-10-11,149.837479,150.047806,147.122375,147.982788,114.014984,3034760
2016-10-12,148.154877,148.154877,146.347992,147.504776,113.646683,3100344
2016-10-13,146.940720,147.437866,145.573608,146.959854,113.226852,3043755
2016-10-14,147.676865,148.690247,147.313583,147.657745,113.764526,4558677
2016-10-17,147.657745,149.034424,147.552582,147.963669,114.000244,6161358
2016-10-18,143.422562,144.359467,141.290634,144.091782,111.017097,13358048
2016-10-19,144.617584,145.745697,144.196945,144.608032,111.414864,4846013
2016-10-20,144.627151,146.175903,144.378586,144.856598,111.606377,4208163
2016-10-21,143.957932,144.502869,142.982788,143.049713,110.214264,4617253
2016-10-24,143.785858,144.856598,143.785858,143.948380,110.906624,2789368
2016-10-25,143.948380,144.512421,143.240921,144.244736,111.134949,2769285
2016-10-26,144.082214,146.214142,143.652008,145.133850,111.819984,2941038
2016-10-27,146.099426,147.284897,145.334610,146.606125,112.954300,4423848
2016-10-28,147.275330,147.648178,145.487579,145.898666,112.409210,3822607
2016-10-31,146.042068,147.543015,146.042068,146.931168,113.204742,3716647
2016-11-01,146.749527,147.141495,145.066925,146.070740,112.541817,3338727
2016-11-02,145.774384,146.606125,145.000000,145.267685,111.923080,3215822
2016-11-03,145.803055,146.978973,145.124283,145.669220,112.232468,3011225
2016-11-04,145.697891,146.883362,145.191208,145.726578,112.276657,2584038
2016-11-07,147.217972,149.244736,147.074570,148.871887,114.699997,3979925
2016-11-08,147.762909,149.072662,146.328873,148.346085,115.379944,4102307
2016-11-09,146.233276,148.718933,144.359467,148.001907,115.112206,5652270
2016-11-10,150.726578,154.072662,150.659653,153.173996,119.134926,8070727
2016-11-11,152.934998,154.244736,152.323135,154.177826,119.915718,4651144
2016-11-14,154.158707,154.741867,150.650101,151.252396,117.640366,5435539
2016-11-15,151.453156,152.151047,150.621414,151.692154,117.982422,3636942
2016-11-16,151.491394,152.533463,151.080307,152.284897,118.443420,2356429
2016-11-17,152.217972,152.896744,151.864243,152.772461,118.822632,2365215
2016-11-18,152.772461,153.652008,152.208420,153.336517,119.261360,3118754
2016-11-21,153.623322,155.831741,153.317398,155.611862,121.031036,4850407
2016-11-22,155.831741,155.831741,154.827911,155.516251,120.956665,2898257
2016-11-23,154.818359,155.238998,154.263855,154.856598,120.443657,2356324
2016-11-25,154.713196,156.013382,154.713196,155.965576,121.306152,1679144
2016-11-28,156.022949,157.418732,155.544937,157.284897,122.332283,4654072
2016-11-29,156.787766,157.179733,155.860428,156.338425,121.596191,3293017
2016-11-30,156.166351,156.596558,155.076477,155.086044,120.622093,4600099
2016-12-01,154.827911,155.066925,151.338425,152.791580,118.837502,4848942
2016-12-02,152.007645,153.240921,151.443588,152.982788,118.986237,2866981
2016-12-05,153.776291,154.063095,152.571701,152.810699,118.852386,3605667
2016-12-06,153.087952,153.718933,151.940720,153.298279,119.231598,2990514
2016-12-07,153.537292,157.915863,153.336517,157.543015,122.533043,4639115
2016-12-08,157.619507,158.699814,156.998093,158.087952,122.956902,3416654
2016-12-09,157.915863,159.388138,157.361374,159.196945,123.819481,3291657
2016-12-12,159.388138,159.455063,157.810699,158.221802,123.061012,3548346
2016-12-13,158.393875,162.476105,158.393875,160.889099,125.135574,6205186
2016-12-14,160.965576,162.418732,160.086044,161.099426,125.299179,4313913
2016-12-15,160.621414,162.380493,160.401535,160.630981,124.934814,3544476
2016-12-16,161.539200,161.673035,158.757172,159.397705,123.975609,7448148
2016-12-19,159.493301,159.904404,158.699814,159.349899,123.938408,3091871
2016-12-20,160.124283,160.850861,159.130020,160.229446,124.622482,2274632
2016-12-21,158.938812,160.554489,157.982788,159.971313,124.421768,3740182
2016-12-22,160.000000,160.831741,159.254303,159.713196,124.220978,2931520
2016-12-23,159.655838,160.124283,159.130020,159.378586,123.960739,1779455
2016-12-27,159.636703,160.592728,159.512421,159.789673,124.280441,1461785
2016-12-28,159.933075,160.363297,158.699814,158.881454,123.574066,1838345
2016-12-29,158.718933,159.646271,158.699814,159.273422,123.878929,1740021
2016-12-30,159.120453,159.369019,158.221802,158.690247,123.425339,3088629
2017-01-03,159.655838,160.487579,158.709366,159.837479,124.317665,3069278
2017-01-04,160.391968,162.399612,160.000000,161.816437,125.856850,3536944
2017-01-05,161.806885,161.940720,159.904404,161.281067,125.440430,2805686
2017-01-06,161.271515,162.447418,160.152969,162.074570,126.057610,3080993
2017-01-09,162.017212,162.332703,160.248566,160.277252,124.659706,3336635
2017-01-10,160.592728,160.697891,158.068832,158.240921,123.075882,4308160
2017-01-11,158.747604,160.382416,158.317398,160.372849,124.734070,3765077
2017-01-12,160.391968,160.621414,158.279160,160.564056,124.882790,3062165
2017-01-13,160.583176,161.070740,159.541107,159.980881,124.429161,3007668
2017-01-17,159.359467,160.783936,158.814529,160.506699,124.838120,3468222
2017-01-18,160.086044,161.175903,159.359467,159.464630,124.027664,4192159
2017-01-19,159.617584,160.086044,158.508606,159.474182,124.035080,7283716
2017-01-20,160.430206,163.135757,158.699814,163.049713,126.816063,13273740
2017-01-23,162.600388,163.718933,162.533463,163.508606,127.172966,5730197
2017-01-24,163.824097,168.260040,163.632889,168.164429,130.794144,7272210
2017-01-25,168.508606,171.367111,168.384323,170.449326,132.571289,6194935
2017-01-26,170.229446,171.013382,169.703629,170.803055,132.846405,3204839
2017-01-27,170.621414,171.319305,169.502869,169.502869,131.835144,3642486
2017-01-30,169.196945,169.282990,166.902481,168.068832,130.719818,4283161
2017-01-31,167.351822,167.858505,165.975143,166.845123,129.768036,4329394
2017-02-01,167.304016,167.973236,165.286804,166.625244,129.597031,2924302
2017-02-02,166.567871,167.275330,165.917786,166.902481,129.812637,2741043
2017-02-03,167.304016,168.585083,167.198853,168.087952,130.734650,3461528
2017-02-06,167.600388,168.240921,166.711288,168.126190,130.764404,2772737
2017-02-07,168.260040,170.764816,168.164429,170.611862,132.697708,4051681
2017-02-08,169.694077,169.694077,168.145309,168.422562,132.078705,3047103
2017-02-09,168.422562,169.980881,168.173996,169.416824,132.858429,3232872
2017-02-10,169.569794,171.003830,168.986618,170.822174,133.960510,3065512
2017-02-13,171.357559,171.988525,170.975143,171.472275,134.470352,3235696
2017-02-14,170.717010,172.208420,170.506699,172.208420,135.047623,2904219
2017-02-15,172.275330,173.919693,171.902481,173.690247,136.209671,3048358
2017-02-16,173.470367,174.751434,172.915863,173.451248,136.022263,3401069
2017-02-17,173.279160,173.585083,172.084137,172.724670,135.452499,3715915
2017-02-21,172.657745,172.839386,171.242828,172.332703,135.145081,4686394
2017-02-22,172.170166,173.365204,172.170166,173.183563,135.812332,3159443
2017-02-23,173.996170,174.474182,172.963669,173.661575,136.187210,2387495
2017-02-24,172.284897,173.508606,171.978973,173.374756,135.962296,3451905
2017-02-27,173.221802,173.279160,171.395798,171.510513,134.500320,3861100
2017-02-28,171.491394,172.686417,171.462708,171.912048,134.815170,3423976
2017-03-01,172.543015,174.521988,172.112808,173.948380,136.412140,3143858
2017-03-02,173.881454,173.881454,172.495224,172.590820,135.347565,3052437
2017-03-03,172.590820,173.346085,171.854691,172.131927,134.987640,1905812
2017-03-06,171.816437,173.030594,171.673035,172.533463,135.302551,3351802
2017-03-07,172.762909,173.317398,172.275330,172.447418,135.235046,3117603
2017-03-08,172.801147,172.992355,171.414917,171.558319,134.537796,3721040
2017-03-09,171.271515,171.367111,168.145309,169.388138,132.835922,5694529
2017-03-10,170.372849,171.596558,169.617584,170.009567,133.323273,3242914
2017-03-13,170.028687,170.229446,168.661575,168.699814,132.296158,3642381
2017-03-14,168.432129,169.043976,167.504776,167.992355,131.741348,3292285
2017-03-15,167.982788,168.527725,167.065002,168.078400,131.808838,3991013
2017-03-16,170.611862,171.128113,169.043976,169.445511,132.880936,4510143
2017-03-17,168.537292,169.015289,167.925430,167.925430,131.688873,6193366
2017-03-20,167.925430,168.432129,167.437866,167.973236,131.726349,2590001
2017-03-21,168.269592,168.479919,166.195023,166.233276,130.361847,4108374
2017-03-22,166.386230,167.361374,165.200760,167.093689,131.036591,3609223
2017-03-23,166.759079,167.944550,165.927338,167.131927,131.066605,3912040
2017-03-24,167.418732,167.782028,165.764816,166.185471,130.324402,3369898
2017-03-27,165.095596,166.500961,164.521988,166.128113,130.279373,3408914
2017-03-28,166.290634,167.304016,165.391968,166.835571,130.834167,3685999
2017-03-29,166.634796,166.816437,165.831741,166.290634,130.406830,3227538
2017-03-30,166.214142,166.912048,166.051620,166.214142,130.346863,3314042
2017-03-31,166.328873,167.256210,166.051620,166.481842,130.556778,3047730
2017-04-03,166.175903,167.179733,165.755264,166.826004,130.826736,4483679
2017-04-04,165.889099,167.265778,165.640533,166.845123,130.841705,3251909
2017-04-05,167.017212,168.575531,165.210327,165.277252,129.612152,6525889
2017-04-06,165.841293,165.841293,164.674957,164.866150,129.289734,3593428
2017-04-07,164.512421,165.325043,163.747604,164.569794,129.057358,3753362
